review,sentiment_label,confidence
"服务：收银台常年排队，主要是工作人员一堆，就是没人帮忙收银结账，刻意营造大排长队现象……老板做个人吧

性价比：不算贵，但是跟网上还是比不了，优势是可以都买一点点尝尝味道，真要买还是网上便宜

环境：可以，比较干净",positive (stars 4 and 5),0.6144
"看着这家店蛮大的，灯很亮，排队的人也多确实蛮忙的，我也去看看
里面的零食品种很多，看见了很多小时候看见的零食，瓜子、蜜饯类，巧克力、果冻、饮料、膨化食品、面包、饼干、应有尽有
好处就是都是小包的独立包装，要几包买几包，很方便，不用买一大包，每个品种都尝试一下，好吃的喜欢的下次再买，不错，价格适中
最后自己买了一大推零食",positive (stars 4 and 5),0.9937
"去了虹口合新里看到这个零食很忙我觉得蛮好是各种各样的零食都有的呢
环境：环境不错的呢
服务：服务员态度很好的呢，基地单机觉得就到家吉尔吉斯山就等你弟弟我呢嗯嗯简单的就到家都觉得就到家额觉得就觉得几点几点到就忘记饿饿就",positive (stars 4 and 5),0.9838
零食很忙现在进阶到小包装生活日耗品了，比如豆奶粉拆成小包装，银耳啥的搭配好的小包装，一次200ml的个人消耗量，哇，这真的是个趋势。单身经济和次高频消费是现在的主流经济，现在人一天没多少时间待在家里做饭吃饭，这种方式能满足偶尔吃一次，口味多样的搭配需求，真的太棒了。比单一大包装更适合单人消费。难怪每天排队到十点都不断人，活该零食很忙赚米呀,positive (stars 4 and 5),0.9937
"四川北路以前的快餐店变成了零食店，特别显眼的黄色?招牌，远远的就能看到。
刚开业的时候来了一次，人三人海，买单要排好久。
后面来的就很少了，本来想找店吃晚饭，结果拐到了他们家。
通通一顿拿，就是一筐。买单果然又等了好久。",positive (stars 4 and 5),0.9244
坐入在四川北路上的零食很忙店，此店商店琳琅满目，摆方整齐人流量大，价适中，是很好的一家店,positive (stars 4 and 5),0.9937
店不算特别大，但是里面东西还是很多的，带小朋友去了很多次了，小朋友很喜欢,positive (stars 4 and 5),0.9899
"口味：花色品种非常多，单位小，可以买一点点尝一尝，喜欢的再多买。

环境：非常明亮，经常放着周杰伦的歌。就是人太多，走路要挤来挤去。

服务：弟弟妹妹服务都很勤快，手脚很快。但是人更多，每次都要大排长队。

性价比：经常有活动，支付宝碰一下减三块就在今天。还有各种其他活动。比如点评的团购。
我和对象经常大半夜去买零食。想不通的是为啥还有这么多人？",positive (stars 4 and 5),0.9877
"环境：展示面开阔，环境整洁干净；

口味：零食主打中低端，整体口味微重；

服务：不管买多少，服务还是很好的，都会给个包装袋；

性价比：这是该品牌最大的特色，性价比高。

零食很忙的产品特色适合高人口密度区，多人流区，单品利润较低，又需较低租金。这家店选址位于高架下，十字路口处，近四川北路地铁口，综合而言还是可以的。

有周杰伦代言，才注意到。有排队，四台收银，不需要等太久，偶尔买一次还是可以的。",positive (stars 4 and 5),0.9882
各种零食很多，饼干面包，奶片，蜜饯，巧克力，菠萝蜜果干（有点像冻干的那种感觉）还有一些冲饮的一条一条的那种，比如甜牛奶啦，阿华田呀，奶茶啥的，感觉应该比来伊份便宜一些，去的时候并没有排队，可能是晚上比较晚的原因，人还好不多,positive (stars 4 and 5),0.9904
第一次来这家购物，他家零食商品挺多的，选择性非常强，店员服务速度很快，挺周到的，他家还可以线上购买，优惠幅度也挺大，点赞推荐。,positive (stars 4 and 5),0.9938
今天到四川北路小公园散散步，出来看到原麦当劳位置新开了一家专卖零食的店，装修明黄色很亮丽就进去看看，咖啡、饮料、薯片、泡面、饼干等零食品种繁多，价格便宜，杂牌不少，匆匆选了几样喜欢的有牌子的，过分便宜的也不敢买，店里只有1名收银员，人为的造成排队。,positive (stars 4 and 5),0.9221
商品种类很多，都是小规格。适合我这种什么都想尝一口但又吃不多偶尔嘴馋的人，部分商品还有优惠团购…偶尔想放纵吃零食的时候可以光顾,positive (stars 4 and 5),0.9895
在四川北路地铁口下站下站没有多远，有一家零食很忙，爱吃零食的小朋友们可以进来购买，里面的零食琳琅满目看得眼花缭乱，有大大小小老老少少的人往，有些零食都是小时候的味道，勾起了童年的回忆。下次还会回购的,positive (stars 4 and 5),0.9917
和老公逛今潮八弄，回家路上看到这家店里面人山人海，爱凑热闹的我肯定是要进去看看的，里面就是零食的天堂，价格也不贵，挑了一些我一看就流口水的零食，酵素青梅很大一颗颗的软糯香甜，陈皮杨梅湿度正好，原味南瓜子是我最喜欢的，很新鲜很香，没有坏的，我吃完了就会复买，一大塑料袋才只要6、70元，推荐,positive (stars 4 and 5),0.9938
"位置非常好找的一家零食店 路过就会忍不住想要进去逛逛
环境：物品被店员整理的非常整洁 让强迫症患者狠狠舒服住了 摆放的也很直观明了 让人很好的就能注意到
服务：很有耐心 很热情
性价比：比正常超市便宜了很多可以多多囤起来",positive (stars 4 and 5),0.9937
以前是麦当劳，现在开零食店了，这家店很大，东西很全，每次晚上去都是人山人海,positive (stars 4 and 5),0.9937
周杰伦代言的零食店，品种还蛮丰富的，价格也合适，团购非常便宜！,positive (stars 4 and 5),0.9938
"零食很忙真的性价比之王 品类超全，怀旧零食、网红小食一站式购齐，价格比超市划算太多，店员补货快、结账不排队，每周必来买的

口味：都有喜欢吃的非常好",positive (stars 4 and 5),0.9938
"这个店进不去啊。排队都排到门口了，这显然在设计上有点不足啊。但是这可能就是营销手段啊。店里的价格绝对实惠，可以和以前鼻翼的，好特么差不多了。而且主要卖零食，吃吃喝喝在这条路上还是很稀缺的，旁边就是一个小花园。
这里以前是麦当劳。现在搬掉了。",positive (stars 4 and 5),0.9658
零食很忙真是零食爱好者的天堂！店内零食种类超级丰富，从经典款到网红款应有尽有，价格也很亲民，每次去都忍不住大采购一番，店员服务态度也超nice，强烈推荐给大家！零食小包的，很喜欢，还会回购的，价格也很实惠,positive (stars 4 and 5),0.9938
"挺推荐这家零食店的，种类超多，各种小吃零食，应有尽有。
店铺空间很大，货架摆放的很整齐，基本不会有买断的情况。
店员服务态度也是比较满意，挺贴心周到的。",positive (stars 4 and 5),0.9938
"环境：这家位于四川北路转角处上的零食很忙，该店空间很大，整洁干净，以黄色为主基调显得明快有食欲，商场零食有上千种，看得眼花缭乱，但排列井井有条。
服务：该店服务员的态度热情周到，他家零食比外面超市便宜好多是吃货的天地。",positive (stars 4 and 5),0.9913
和朋友一起来的这家店  店内货架比较整齐 整体装修比较比较偏黄 店有很多可以选择的零食 喜欢囤零食的姐妹一定要来  点评上面还有代金券可以买比较划算 总之来说整体非常得好工作人员态度也非常好很细心  环境宽敞明亮 会坚持来的,positive (stars 4 and 5),0.9938
优惠券挺多的，价格也比较合适，优惠力度挺大的，品类很多，小零食味道也挺不错的。,positive (stars 4 and 5),0.9938
来了好多次了挺好逛的，却零食都会来这里补，很多品种的，种类特别的多，价格也挺划算的，能比其他超市便宜不少。,positive (stars 4 and 5),0.9937
又来啦。每天都要逛逛的店。冬天啦 上新了我最爱的拇指煎包和考场。真开心,positive (stars 4 and 5),0.9937
环境和服务还可以，最主要他们家品牌类的比较少，基本上杂牌的偏多一点嗯，品牌类的可能就那一些是有的，就是那些乐视啊什么的，然后其他的都是以杂牌为主，遇到好处就是都是散装的，不好吃的话，可能也只是一样，直接扔掉也没亏多少,positive (stars 4 and 5),0.7042
在四川北路虬江路附近发现了这家零食很忙，走进去一瞧，那里满满的都是童年的回忆，各种各样的零食非常多，可以买整包，整件的还可以像小时候那样，一小件一小件的零买，店里来买东西的大人和小孩也蛮多，有些在超市里看不到东西，这里大概也能找到。,positive (stars 4 and 5),0.9882
每到天黑的时候，他们家的人就特别多，这家的生意还是很火爆的，店面也很大购物体验很舒服，结账也是很迅速，没有等很久。,positive (stars 4 and 5),0.9937
周六人挺多的排了很长的队，但是他们家结账速度还是比较快的，效率很高，也没有九等这点很不错，结账通道也有很多。,positive (stars 4 and 5),0.9874
"黄色货架从底到顶堆满零食，炒货、膨化食品、果干全是敞着的透明陈列，13.5元/斤的瓜子颗粒匀净，12.8元的玉米片新鲜到能闻到谷物香，一块钱一包的脆枣藏在角落也没偷工减料。
 
最舒服的是没任何套路：明码标价不搞满减，凑单角几毛钱的糖能补零头，店员只递袋子不推销。四十多块拎两大袋，每样都没溢价包装，全是实打实的分量和味道。
 
没有网红噱头，只靠“好吃不贵、不用纠结”赢好感，会当长期补货点。","negative (stars 1, 2 and 3)",0.865
他们家的零食性价比都挺高的，价格方面比较划算，而且种类也比较多，团购也有代金券很不错的零食店。,positive (stars 4 and 5),0.9938
快晚上去的人还是比较多的，需要排队，但是收银台挺多的不需要等很久结账也很迅速。,positive (stars 4 and 5),0.9882
"口味：零食种类很多，各种常见的都有，不常见的也有一些。
性价比：性价比这一块还可以，比一些24小时便利店肯定便宜一些。
服务：服务员，收银员态度都很好，看得店长或者老板出来培训很到位。
环境：环境没啥好挑剔的，有时候忙的时候可能有些货没不上去，但这都很正常。",positive (stars 4 and 5),0.9894
以前是好特卖，现在叫零食很忙，店的地理位置不错，在四川北路武进路这里，店里的装修主色调是黄色，很明亮。零食种类很多，有很多零食都有折扣，兜兜转转也买了不少，店里还有鲜奶和冷饮出售，美中不足就是买单要排队，虽然有好几个收银机，但是只有1-2台开着。,positive (stars 4 and 5),0.9898
零食很忙这家店零食超级多，什么膨化食品，巧克力，饮料，还有许许多多的小零食，基本上每一款都是让我无法割舍，每次路过总要买一点，带一些回家，而且价格实惠不少，有些真的是非常低的价格，只有经常去逛逛才能知道！,positive (stars 4 and 5),0.9913
"超大的一家零食很忙！
口味：都是小零食居多，价廉物美。甚至比啥多都便宜
环境：干净，明亮！大玻璃窗！
服务：服务人员都很忙。但是问了他们，他们也能耐心性价比：超无敌的存在。
店家很大，还不错的。",positive (stars 4 and 5),0.9902
地方蛮大的，品种很多，价钱么，还能接受，好像入会会再便宜点。喜欢吃长鸭脖。,positive (stars 4 and 5),0.991
"特价商品券用起来超级便宜，好像是新入会的可以享受，还有会员价，一买一个不知声，就是一张一张券验有点麻烦
零食蛮多的，特别是散称的那种，小点心，坚果类，果冻类，辣条类，品类挺多的，喜欢零食的就跌入米缸里。",positive (stars 4 and 5),0.9916
特别实惠，特别赞的一家零食店，优惠力度很大，每次都是买很多,positive (stars 4 and 5),0.9938
店面很大位置很好找，里面零食种类特别多让人挑花眼，摆放的很整齐一眼就能看到工作人员会一直补货根本就不怕买不到想要的，唯一不好的就是当天去的时候店里面很热工作人员说空调刚好坏了，不过还是买了三大袋满载而归,positive (stars 4 and 5),0.986
逛到这里不来买点东西，零食很忙，买零食天堂，来都来了，不买点零食吗？这里零食超多，买零食就选这！，这里目前看到也有外卖了，3个收银变成两个，有一位帅哥是负责外卖的，果然在忙的店铺线上最终还是要做的，7号有折扣哦,positive (stars 4 and 5),0.9785
他们家的零食种类还是挺多的，特别是小零食品类非常的丰富，散成的价格也是挺合适的，算起来比较划算，并且口味整体还是不错的酒水饮料也不贵。,positive (stars 4 and 5),0.9936
泡面的种类很多的，口味很丰富，薯片也是各式各样的味道很多，价格上也很划算，会员价格很优惠。,positive (stars 4 and 5),0.9938
回家路上经过这家店，看到很多人在里面，我也进去转转，有很多零食在货架上面，门口都是小包装的，里面是称重的，对没有尝过的味道很友好，能够先买一包试试看合不合口味，我每种只拿了1-2个，这样一包50元，入会有优惠券50-5可以使用,positive (stars 4 and 5),0.9901
"这家店招柠檬黄牛仔经典蓝+牛仔卡通形象，晚上很显眼。零食很忙，来自于湖南长沙，号称百姓家门口的零食店，全国超过1万家。

有一种多巴胺式的购物体验。没想到晚上还有不少顾客在挑选产品，男女老少，红领巾也不少。看着价签，感觉是薄利多销量贩模式，种类品牌选择多，单价低（据说毛利是个位数），难怪是学生党，零食党，简餐党的选择，店员在不停地补货整理货架。有固定货架是新品区，周周有新品，吸引喜欢猎奇的顾客。",positive (stars 4 and 5),0.9808
小零食的价格基本上都有会员价，价格整体比较划算，价格也比较透明，也都是大牌子没到不错。,positive (stars 4 and 5),0.993
周五放学后学生挺多的，这么大的空间显得有点不够用，团购折扣力度挺大的，排队结账也挺快的没有排的很久。,positive (stars 4 and 5),0.9911
"买了很多次了 零食品种丰富多样。好吃? 辣条我的最爱     。还有各种汽水? 牛奶?酸奶 非常不错? 
环境：干净整洁 东西摆放整齐  在四川北路上 地理位置不错 「香烤紫衣腰果」「无糖萨琪玛」「旺旺浪味仙田园蔬菜味」「旺仔牛奶片」「亲亲巧克力圈」「伊利原味优酸乳」",positive (stars 4 and 5),0.9935
位于四川北路地铁站的一家零食很忙，里面的零食种类非常多，摆放的非常整齐，每次都会去购买一些早餐面包以及各色零食，卤味和坚果，价格也比较透明，而且每样东西都可以一个去买就很方便，很适合上班族买点小零食储备着。每逢7号还有会员日88折。,positive (stars 4 and 5),0.9937
价格很清晰透明，会员价格挺合适的，性价比很高，比其他超市便利店都是要优惠一些的，买零食饮料很划算。,positive (stars 4 and 5),0.9938
"环境：干净整洁
性价比：性价品挺高的，经济实惠",positive (stars 4 and 5),0.9918
每次零食吃完都会去他家买 总的还可以 他家饮料便宜,positive (stars 4 and 5),0.9879
离家里特别近，一个月都会去两到三次，买一些喜欢吃的东西，店面非常的大，基本喜欢的东西都是应有尽有，有空的时候可以慢慢来逛，每一次都是大包小包的带回去，东西都特别的便宜[色][色][强][强]就是喜欢去零食很忙逛，别的都去的少,positive (stars 4 and 5),0.988
"和妈妈去四川北路上吃饭，看到这家零食很忙，这里原来是麦当劳。
环境：这家店面挺大，黄色的招牌格外醒目，玻璃也是格外敞亮。
服务：店里收银区有几个店员，还有些店员在巡视和整理货架。店员都是清一色的年轻人。
口味：买了点咸口的零食，鹌鹑蛋和迷你肠。鹌鹑蛋买了两种，酱香味和盐焗味。酱香味比较硬，盐焗味撕开的时候要小心，汁水容易蹦出来。迷你肠选了多种口味的，偶尔拿个解解馋还是可以的。
性价比：这些零食，一共12块多，还是比较划算的。以后还可以试一下其他零食。",positive (stars 4 and 5),0.9903
附近最好逛的零食折扣店了，店面确实挺大的，环境也很好，而且种类特别丰富应有尽有想吃什么一站式就可以购齐了。,positive (stars 4 and 5),0.9938
外卖要配送费，还是直接门店购买更划算。,"negative (stars 1, 2 and 3)",0.6364
这家店零食很多，经常来买，很赞的。,positive (stars 4 and 5),0.9937
店铺挺大的，零食品种齐全，还不错，馋的时候进去逛逛。,positive (stars 4 and 5),0.9937
休息一天，无聊，就出去逛逛，选择了去零食店，慢慢逛了一个多小时，选择了自己喜欢吃的零食，好多好多小零食，特别是麻辣的，还有瑞士卷，饮品，等种种零食，还有一个9.9的一个灌ヾ(?｀Д′?)?彡，结账的时候看一下有没有什么优惠，消费了125，只便宜了一两块钱，觉得没意思,"negative (stars 1, 2 and 3)",0.683
挺喜欢来他们家买零食的，种类很多，酒水饮料泡面等等应有尽有很不错，价格也比实惠大多数都是低于便利店的价格的。,positive (stars 4 and 5),0.9937
人还是挺多的，这个店非常的大，购物感觉挺棒的，逛起来也很舒适，价格还是比较实惠的。,positive (stars 4 and 5),0.9937
零食很多，品种很丰富，吃的还可以，性价比很高。买单也很方便。,positive (stars 4 and 5),0.9937
店里面顾客还挺多的，他们家种类很多很丰富的，价格也还行，店面也比较大，同款零食口味也很多。,positive (stars 4 and 5),0.9936
好朋友推荐的零食百搭哈哈哈 说很便宜，约好了今儿而至，找了家距离家最近的一家，不过属实有点意思，虽然没有很大的惊喜，不过看到朋友笑容满满，也是值得的，店铺延边营业，室内很小，很小，小到一眼看到头，小吃真的多样化，能满足吃货的欲望，有点可笑的意思，买单小哥直接干迷糊了，哈哈哈哈 希望能设计那种一次性效果，这样就不用等很久，期待下次还能光临本店，如落失约，那说明很一般哈哈哈。,positive (stars 4 and 5),0.9915
薯片的种类特别的多，满满一墙，这个店的品种跟全，牌子也特别多，各种各样的零食应有尽有，并且会员价格也特别的有性价比。,positive (stars 4 and 5),0.9938
"众所周知，在上海买零食是非常贵的，但是有了零食店的出现，买零食就是很便宜了。各种各样的零食，各种各样的饮料，看的人眼花缭乱。种类很多，也很便宜。 总的来说就是性价比非常高。我们去买了300多的零食。四个大袋子，满满当当的。
环境：环境也很好。就是排队买单感觉有点慢了。可以提高买单速度。",positive (stars 4 and 5),0.9912
每隔一段时间就会到“零食很忙”采购，是家里俩娃喜欢的店，品种齐全，价廉物美，吃完再去,positive (stars 4 and 5),0.9937
这家店位于四川北路，路边的一个零食店，上海有几家分店，之前的话在大融城静安那边有一家也买过，但是那一家的话没有这一家大，没有这一家全就是小零食啊，饮料啊什么的，这一家的话感觉还是蛮多的，而且每次来的话人很多嗯，今天看的时候说是7号是会员日8.8折嗯，但是不一定每次都有时间，觉得整体的话价钱还是可以的，比在超市划算。,positive (stars 4 and 5),0.9827
种类上新挺快的，小零食大多数都是通过称重计价的，这样买多少都可以，性价比也挺高的。,positive (stars 4 and 5),0.9937
"零食的种类特别多，适合饭后消遣来逛一下
「大魔王魔芋素毛肚」这个麻酱味的素毛肚巨好吃，强推~真的很好吃「果甄原果整切芒果干」我的最爱，芒果干特别大一个，吃着很过瘾
位置也很好找，很大一个零食店。性价比很高
经常来逛逛",positive (stars 4 and 5),0.9938
麻酱味道正好，很鲜，火鸡的话对我来说有点辣。,positive (stars 4 and 5),0.9935
散成零食的种类特别的多，好几百种是有的，零食，面包，干果之类的应有尽有，来这里买零食本上都可以满足需求了。,positive (stars 4 and 5),0.9935
零食种类比较多，价格实惠，之前每周小朋友都要去买很多零食和饮料，但现在去的比较少，感觉都被吃够了，希望商家可以改进多一点新的品种。,positive (stars 4 and 5),0.9909
感谢大众点评爸爸让我抢到了零食很忙的二个零食，正好在附近就去兑换了，店蛮大的，去拿了之后还没有吃看上去还不错感谢大众点评爸爸让我抢到了零食很忙的二个零食，正好在附近就去兑换了，店蛮大的，去拿了之后还没有吃看上去还不错,positive (stars 4 and 5),0.9918
满墙的薯片，口味特别的多，种类特别丰富，饮料的价格特别划算，可以上平台上买优惠券性价比会更高一些。,positive (stars 4 and 5),0.9937
奶制品的种类挺多的，价格比较划算，性价比很高，可以买代金券还能在便宜一些，酒水之类的也是很划。,positive (stars 4 and 5),0.9937
零食明码标价，各个商品价格都标注的非常清晰，会员价格会更优惠一下，整体性价比挺高的。,positive (stars 4 and 5),0.9937
真的很大的一家店 人也蛮多的 其实更像是一个小超市 只是品类主要局限在吃喝 价格比便利店要便宜的 而且有很多称斤数的零食 比较方便散装买 有点像lyf 不过大包装还是要比lyf更全面了 有一些小时候的零食 还有怀念的 点评上也有团购劵可以用 稍微便宜一点点,positive (stars 4 and 5),0.9909
这家的生意很好，买单都要排队的，品种也很好，每次来都是一大袋[捂脸][捂脸][捂脸],positive (stars 4 and 5),0.9898
他们家的环境特别的不错，空调开放的很舒适，一进去就特别的凉爽，性价比挺高的，对比其他家的零食店价格要便宜一些。,positive (stars 4 and 5),0.9937
自从家小区对面开了一家零食很忙零食店，我们都不去超市逛了。每天吃好饭下去溜达一圈就直接去零食很忙溜达。孩子放暑假基本上天天要去逛，零食品类丰富关键价格还真的便宜。每天买单都是排队的状态，很好很便民的零食店,positive (stars 4 and 5),0.9917
零食品种很多，也很优惠，结账排队很长[悠闲] 零食袋是免费的，大众还有团购很划算,positive (stars 4 and 5),0.9937
一进门就觉得特别的凉爽，环境优美，整体也是特别的干净舒适，有购买商品的欲望，价格也比其他的要高上一些。,positive (stars 4 and 5),0.9936
"口味：还行的
服务：还可以 
性价比：挺高的
环境：很干净  工作人员可能快下班了吧 都在补充货架上的东西",positive (stars 4 and 5),0.9244
"终于找到一家，好吃又不贵的零食店了，有一天无意间经过看到了他们家，也挺久没有逛了，就约了朋友随便去逛逛，结果没有想到，竟然有好多我特别喜欢吃的零食，从逛了零食很忙就在也不想逛其它家了，真的零食种类多，经济又实惠，真的是绝了，要是早点发现这个零食宝藏店就好了，但是现在发现还是来得及，因为现在基本零食都去她家买了，哈哈
性价比：性价比很高的

服务：服务也挺好的，收银员小哥哥都很热情的~
环境：环境挺好的",positive (stars 4 and 5),0.9937
"环境：在四川北路中部，原本麦当劳的位置店的空间非常大，所以陈列的品种种类很多，分类摆放看着很整齐，很舒服
性价比：挺高的，会员每月有固定的折子，就算不受会员，平时的产品也有很多特价，基本上都会逛量多逛就知道哪些零食的价格是性价比高的",positive (stars 4 and 5),0.9937
带娃逛中共四大纪念馆，天热了买点水喝，这家店不错，东西都是平价的，装修很符合年轻人口味，一目了然，干净敞亮，结账小姐姐还贴心给了免费小塑料袋，服务挺好的。,positive (stars 4 and 5),0.9938
"环境：环境蛮好的在四川北路 店内环境整体是黄颜色的 不过挺干净的 8点多去的时候 人还是爆满
口味：零食 饮料种类很丰厚各种各样的 童年回忆小玩具啊 
性价比：最主要的就是性价比 哈哈 真的是比外面都便宜很多 我们也是直接买了两大筐子 直接囤起来慢慢吃  幸福感直接拉满",positive (stars 4 and 5),0.992
孩子的零食不愁了～开在四川北路上，位置很好找～店面很大～品种很齐全～商品很多～好大的果冻～饮料零食坚果各种品种都有～位置也很方便～结账人挺多的～服务也很好的～交通过去也很方便～下次还会再来的～值得推荐～,positive (stars 4 and 5),0.9938
"东西品种很多很优惠，不枉我千里迢迢赶过来。

口味：全是我爱吃的小零食，还有巨大的罐头！

环境：环境很干净，零食在货架上面摆放的整齐，店内也不大也不小，中规中矩服务：服务还是很可以的，排队很多人，也没有一点点不耐烦
性价比：很划算",positive (stars 4 and 5),0.9938
原来的麦当劳被零食很忙替代了，儿子的零食不愁了，店面很大，商品很多，品种齐全。好大的果冻，2斤一个，看着好诱人，真想来一个，只可惜一个人吃肯定吃不完，还是选择小的吧。去一次没有100元出不来，饮料牛奶面包坚果……..选了好大一包，一个星期的零食不愁了。结账营业高峰时段可以改善一下，明明有那么多收银台，就只开两个，还有个别人素质差的在插队。工作人员也装看不见，都吵起来了，乱哄哄。,positive (stars 4 and 5),0.9508
那家店现在人所的越来越多了，路过了就买一点点瓜子，可以嗑好，再就是都可以买一点点就可以了，像我这种又想减肥，又想干饭的人，吃一点点就很满足了，省的买了太多了，吃的也会多，所以提醒这种这类的超市的品类也比较多,positive (stars 4 and 5),0.9914
每次都买挺多的，人气挺旺的一家店铺，很喜欢吃里面一款灰枣，硬的那种很香。好丽友出了西瓜味，这次也买了尝尝。就是有时候排队很长，活动搞的也不多，相当于九几折。一般一个月去一次就差不多了，吃多了真减不下来…,positive (stars 4 and 5),0.9909
店里有人抽烟 没有任何人去制止 真的很不负责的店,"negative (stars 1, 2 and 3)",0.9715
东西非常多，点点买可以吃很多品种,positive (stars 4 and 5),0.9876
折扣力度挺大的，都是挺有性价比的东西，牌子也都是大牌，零食品种很齐全应有尽有购物体验感很棒。,positive (stars 4 and 5),0.9938
晚上溜达溜达来了这家零食很忙，店里都是人，生意超级好！兜兜转转买了一大堆零食，品种很多，选购起来也很方便，还可以购买代金券。收银员业务也很娴熟，收银速度很快，店里空调打得很足，很凉快！家里的零食补货成功！还会再来光顾！,positive (stars 4 and 5),0.9938
四川北路这边新开的一家店，之前这边是一个麦当劳，现在变成了这个零食店，规模很庞大，办会员还有每周每月7号8.8折很划算，进去逛了一下各种各样的零食都有，而且比超市的都会便宜很多，还有代金券可以买，买了大概一百多块钱的，够吃一个月,positive (stars 4 and 5),0.9937
店里面的环境特别舒服，环境很不错，零食摆放的特别整齐，而且分类的也是比较清晰，找起来特别的方便。,positive (stars 4 and 5),0.9938
店面环境特别的好，很干净也是特别的舒适，空调开放的，零食种类特别的多，嘉哥方面很不错，经历实惠。,positive (stars 4 and 5),0.9938
"环境：店面一般大，去的时候店里再铺货，种类也挺多的，各种小吃饮料面包酸奶零食坚果
服务：都是自助选购，店员都在各忙各的，收银小姐姐很热情
性价比：一大袋花了70多，买了代金券还优惠了十几块，还挺划算的",positive (stars 4 and 5),0.9937
还可以去过n次，东西便宜里面东西也非常的多,positive (stars 4 and 5),0.9729
服务还是蛮不错的，在大众点评上买的代金券用的，零食也有很多种，很好吃，建议大家去买[点赞],positive (stars 4 and 5),0.9937
这家零食很忙店里面装修很好，环境好，店员服务态度很好，经过这里，进去一看才知道这里面品种齐全，都整整齐齐的摆在那个货架上面，总有你喜欢的挑几样带回家。嘉斯利果乐果香夹心饼干买三赠一，香烤紫衣腰果，无糖沙琪玛，汪汪浪味鲜田园蔬菜脆，旺旺脆冰冰，还有很多很多都是孩子们喜欢的，价格跟其他零食很忙，都差不多,positive (stars 4 and 5),0.9919
对这家店的店员以及其他服务方面都特别满意，我觉得很新奇，既然我一个湖南人在上海还能知道零食很忙的，零食我在其他城市都没有看到。觉得特别特别好吃了，特别想念的霸王丝。,positive (stars 4 and 5),0.9925
店很大明亮，但是有个长头发扎发的年轻女服务员，有人惹她了吗？？莫名其妙就被这啥暖冲一下，真晦气,"negative (stars 1, 2 and 3)",0.7465
宝藏零食店，环境特别的好很凉爽，零食饮料各种各样的种类特别的多，想吃零食来这里基本上一小时就购齐了，特别的方便。,positive (stars 4 and 5),0.9938
价钱都还比较公道零食品类也比较多和去超市买什么区别挺方便的在他家买,positive (stars 4 and 5),0.9887
店面特别的大，环境也很不错，零食种类特别的多，各种各样的零食很齐全，性价比也挺高的，大牌零食买起来也很划算。,positive (stars 4 and 5),0.9938
偶然去饭后去散步逛到的一家零食店，基本上出去的话看到零食店都会去逛一下，整体店面是黄色的氛围，非常的有青春的气息然后零食的品类也非常的多，然后很自然的就买了将近一百块的小零食，感觉在变胖的道路上一去不复返。店里还有一些零食是有活动的，可以抽一些红包什么的，可以每个月的会员日去会有更多的优惠。,positive (stars 4 and 5),0.9913
